"KRAJ","ORP","OBEC","BLOK","HLASYPROC"
"Pardubický","Žamberk","Bystřec","",14.69
"Středočeský","Benešov","Bystřice","",6.73
"Královéhradecký","Jičín","Bystřice","",3.84
"Moravskoslezský","Třinec","Bystřice","",3.02
"Vysočina","Bystřice nad Pernštejnem","Bystřice nad Pernštejnem","",3.2
"Zlínský","Bystřice pod Hostýnem","Bystřice pod Hostýnem","",9.67
"Zlínský","Uherský Brod","Bystřice pod Lopeníkem","",4.07
"Zlínský","Vsetín","Bystřička","",2.14
"Středočeský","Mělník","Byšice","",3.78
"Olomoucký","Hranice","Býškovice","",8.73
"Pardubický","Holice","Býšť","",13.87
"Královéhradecký","Rychnov nad Kněžnou","Byzhradec","",3.28
"Jihomoravský","Kyjov","Bzenec","",10.08
"Středočeský","Hořovice","Bzová","",11.12
"Ústecký","Teplice","Bžany","",17.5
"Plzeňský","Stříbro","Cebiv","",3.23
"Jihočeský","Strakonice","Cehnice","",6.71
"Vysočina","Jihlava","Cejle","",5.66
"Plzeňský","Rokycany","Cekov","",4.88
"Jihočeský","Třeboň","Cep","",40
"Královéhradecký","Hořice","Cerekvice nad Bystřicí","",10.73
"Pardubický","Litomyšl","Cerekvice nad Loučnou","",14.35
"Vysočina","Jihlava","Cerekvička-Rosice","",9.21
"Středočeský","Kolín","Cerhenice","",7.33
"Jihočeský","Písek","Cerhonice","",15.1
"Středočeský","Hořovice","Cerhovice","",4.05
"Zlínský","Kroměříž","Cetechovice","",5
"Liberecký","Liberec","Cetenov","",7.68
"Jihomoravský","Boskovice","Cetkovice","",7.35
"Vysočina","Pacov","Cetoraz","",1.76
"Středočeský","Příbram","Cetyně","",5
"Vysočina","Moravské Budějovice","Cidlina","",10
"Středočeský","Kutná Hora","Církvice","",7.95
"Karlovarský","Sokolov","Citice","",16.73
"Ústecký","Louny","Cítoliby","",16.1
"Jihomoravský","Znojmo","Citonice","",9.29
"Olomoucký","Přerov","Citov","",2.34
"Středočeský","Mělník","Cítov","",6.65
"Jihočeský","Dačice","Cizkrajov","",7.64
"Pardubický","Lanškroun","Cotkytle","",14.48
"Jihomoravský","Boskovice","Crhov","",3.22
"Pardubický","Chrudim","Ctětín","",6.41
"Plzeňský","Tachov","Ctiboř","",8.56
"Středočeský","Vlašim","Ctiboř","",5.88
"Jihomoravský","Znojmo","Ctidružice","",5.4
"Středočeský","Mladá Boleslav","Ctiměřice","",5
"Ústecký","Roudnice nad Labem","Ctiněves","",11.76
"Liberecký","Nový Bor","Cvikov","",6.29
"Středočeský","Kladno","Cvrčovice","",5.07
"Jihomoravský","Pohořelice","Cvrčovice","",29.03
"Středočeský","Mladá Boleslav","Čachovice","",3.72
"Plzeňský","Klatovy","Čachrov","",4.38
"Jihočeský","České Budějovice","Čakov","",4.81
"Moravskoslezský","Krnov","Čaková","",4.48
"Středočeský","Neratovice","Čakovičky","",6.93
"Pardubický","Chrudim","Čankovice","",14.63
"Středočeský","Čáslav","Čáslav","",4.43
"Vysočina","Třebíč","Čáslavice","",4.09
"Plzeňský","Tachov","Částkov","",8.32
"Zlínský","Uherské Hradiště","Částkov","",5.51
"Vysočina","Moravské Budějovice","Častohostice","",1.69
"Královéhradecký","Kostelec nad Orlicí","Častolovice","",2.5
"Vysočina","Pelhřimov","Častrov","",5.94
"Pardubický","Pardubice","Časy","",8
"Moravskoslezský","Ostrava","Čavisov","",2.87
"Jihomoravský","Kuřim","Čebín","",3.91
"Středočeský","Mělník","Čečelice","",3.01
"Jihočeský","Blatná","Čečelovice","",3.77
"Vysočina","Chotěboř","Čečkovice","",13.15
"Olomoucký","Prostějov","Čehovice","",10.55
"Vysočina","Třebíč","Čechočovice","",8.16
"Středočeský","Vlašim","Čechtice","",4.91
"Vysočina","Třebíč","Čechtín","",3.39
"Olomoucký","Přerov","Čechy","",4.38
"Olomoucký","Prostějov","Čechy pod Kosířem","",4.46
"Jihomoravský","Hodonín","Čejč","",7.34
"Jihočeský","Strakonice","Čejetice","",5
"Středočeský","Čáslav","Čejkovice","",4.17
"Jihočeský","České Budějovice","Čejkovice","",3.15
"Jihomoravský","Hodonín","Čejkovice","",5.38
"Jihomoravský","Znojmo","Čejkovice","",15.39
"Vysočina","Humpolec","Čejov","",4.57
"Moravskoslezský","Frýdlant nad Ostravicí","Čeladná","",4.93
"Středočeský","Brandýs nad Labem-Stará Boleslav","Čelákovice","",4.92
"Olomoucký","Prostějov","Čelčice","",3.42
"Olomoucký","Přerov","Čelechovice","",2.44
"Olomoucký","Prostějov","Čelechovice na Hané","",2.74
"Jihomoravský","Kyjov","Čeložnice","",11.53
"Plzeňský","Nýřany","Čeminy","",6.24
"Středočeský","Příbram","Čenkov","",9
"Pardubický","Lanškroun","Čenkovice","",8.75
"Pardubický","Pardubice","Čeperka","",9.5
"Pardubický","Pardubice","Čepí","",8.25
"Jihočeský","Strakonice","Čepřovice","",2.98
"Ústecký","Žatec","Čeradice","",19.06
"Středočeský","Benešov","Čerčany","",4.76
"Jihomoravský","Moravský Krumlov","Čermákovice","",7.84
"Plzeňský","Horšovský Týn","Čermná","",15.79
"Královéhradecký","Vrchlabí","Čermná","",0.95
"Královéhradecký","Kostelec nad Orlicí","Čermná nad Orlicí","",1.9
"Moravskoslezský","Vítkov","Čermná ve Slezsku","",5.75
"Vysočina","Velké Meziříčí","Černá","",4.65
"Jihomoravský","Blansko","Černá Hora","",11.65
"Pardubický","Pardubice","Černá u Bohdanče","",11.46
"Jihočeský","Český Krumlov","Černá v Pošumaví","",2.81
"Olomoucký","Jeseník","Černá Voda","",1.02
"Karlovarský","Karlovy Vary","Černava","",17
"Ústecký","Louny","Černčice","",18.97
"Královéhradecký","Nové Město nad Metují","Černčice","",2.53
"Středočeský","Říčany","Černé Voděrady","",11.45
"Ústecký","Roudnice nad Labem","Černěves","",17.08
"Plzeňský","Klatovy","Černíkov","",2.74
"Plzeňský","Kralovice","Černíkovice","",6.06
"Královéhradecký","Rychnov nad Kněžnou","Černíkovice","",2.76
"Středočeský","Český Brod","Černíky","",5.56
"Královéhradecký","Hradec Králové","Černilov","",5.49
"Jihomoravský","Znojmo","Černín","",5.17
"Středočeský","Kutná Hora","Černíny","",2.49
"Ústecký","Lovosice","Černiv","",5.13
"Středočeský","Černošice","Černolice","",5.6
"Středočeský","Černošice","Černošice","",5.13
"Plzeňský","Stříbro","Černošín","",3.2
"Olomoucký","Hranice","Černotín","",4.2
"Ústecký","Roudnice nad Labem","Černouček","",6
"Liberecký","Frýdlant","Černousy","",8.91
"Vysočina","Pelhřimov","Černov","",5
"Jihomoravský","Boskovice","Černovice","",4.31
"Ústecký","Chomutov","Černovice","",13.58
"Vysočina","Pelhřimov","Černovice","",3.52
"Plzeňský","Stod","Černovice","",9.36
"Královéhradecký","Hradec Králové","Černožice","",2.09
"Středočeský","Slaný","Černuc","",9.87
"Jihomoravský","Tišnov","Černvír","",7.22
"Královéhradecký","Vrchlabí","Černý Důl","",5.42
"Jihočeský","Tábor","Černýšovice","",11.9
"Královéhradecký","Náchod","Červená Hora","",3.95
"Vysočina","Pelhřimov","Červená Řečice","",4.27
"Královéhradecký","Hořice","Červená Třemešná","",3.23
"Pardubický","Králíky","Červená Voda","",11.93
"Středočeský","Kutná Hora","Červené Janovice","",4.78
"Středočeský","Kolín","Červené Pečky","",5.21
"Plzeňský","Klatovy","Červené Poříčí","",4.11
"Olomoucký","Litovel","Červenka","",4.59
"Jihočeský","Dačice","Červený Hrádek","",10.62
"Královéhradecký","Náchod","Červený Kostelec","",2.02
"Středočeský","Černošice","Červený Újezd","",6.53
"Středočeský","Votice","Červený Újezd","",7.06
"Jihomoravský","Kuřim","Česká","",9.47
"Vysočina","Havlíčkův Brod","Česká Bělá","",4.93
"Plzeňský","Nýřany","Česká Bříza","",5.47
"Královéhradecký","Náchod","Česká Čermná","",1.4
"Ústecký","Děčín","Česká Kamenice","",4.96
"Plzeňský","Domažlice","Česká Kubice","",7.88
"Liberecký","Česká Lípa","Česká Lípa","",7.53
"Královéhradecký","Náchod","Česká Metuje","",1.16
"Pardubický","Žamberk","Česká Rybná","",14
"Královéhradecký","Náchod","Česká Skalice","",3.83
"Pardubický","Česká Třebová","Česká Třebová","",13.26
"Olomoucký","Jeseník","Česká Ves","",1.38
"Jihočeský","České Budějovice","České Budějovice","",5.5
"Pardubický","Vysoké Mýto","České Heřmanice","",14.77
"Pardubický","Chrudim","České Lhotice","",16.28
"Pardubický","Ústí nad Orlicí","České Libchavy","",13.01
"Královéhradecký","Dobruška","České Meziříčí","",3.99
"Pardubický","Žamberk","České Petrovice","",10.61
"Jihočeský","Třeboň","České Velenice","",7.9
"Středočeský","Český Brod","Český Brod","",7.37
"Liberecký","Liberec","Český Dub","",5.92
"Ústecký","Litvínov","Český Jiřetín","",6.39
"Jihočeský","Český Krumlov","Český Krumlov","",7.07
"Jihočeský","Dačice","Český Rudolec","",4
"Středočeský","Benešov","Český Šternberk","",6.82
"Moravskoslezský","Český Těšín","Český Těšín","",3.46
"Královéhradecký","Kostelec nad Orlicí","Čestice","",8
"Jihočeský","Strakonice","Čestice","",24.1
"Středočeský","Kutná Hora","Čestín","",8.03
"Středočeský","Říčany","Čestlice","",6.89
"Jihočeský","Vodňany","Číčenice","",9.02
"Středočeský","Černošice","Číčovice","",7.95
"Vysočina","Třebíč","Číhalín","",1.35
"Plzeňský","Klatovy","Číhaň","",18.92
"Vysočina","Světlá nad Sázavou","Číhošť","",1
"Karlovarský","Karlovy Vary","Čichalov","",18.87
"Vysočina","Třebíč","Číchov","",4.48
"Plzeňský","Rokycany","Čilá","",5.88
"Středočeský","Nymburk","Čilec","",4.76
"Středočeský","Dobříš","Čím","",2.04
"Jihočeský","Písek","Čimelice","",9.57
"Jihočeský","Jindřichův Hradec","Číměř","",30.8
"Vysočina","Třebíč","Číměř","",1.12
"Plzeňský","Sušice","Čímice","",9.52
"Středočeský","Poděbrady","Činěves","",5.67
"Středočeský","Černošice","Čisovice","",10.42
"Pardubický","Litomyšl","Čistá","",21.13
"Středočeský","Mladá Boleslav","Čistá","",6.04
"Středočeský","Rakovník","Čistá","",6.81
"Liberecký","Jilemnice","Čistá u Horek","",3.51
"Plzeňský","Přeštice","Čižice","",8.83
"Plzeňský","Nepomuk","Čížkov","",4.04
"Vysočina","Pelhřimov","Čížkov","",8.57
"Ústecký","Lovosice","Čížkovice","",12.26
"Jihočeský","Trhové Sviny","Čížkrajice","",2
"Vysočina","Jihlava","Čížov","",7.54
"Jihočeský","Písek","Čížová","",4.23
"Jihočeský","Vimperk","Čkyně","",5.27
"Jihočeský","Jindřichův Hradec","Člunek","",5.12
"Liberecký","Turnov","Čtveřín","",13.03
"Středočeský","Benešov","Čtyřkoly","",7.92
"Jihomoravský","Ivančice","Čučice","",9.09
"Jihočeský","Dačice","Dačice","",4.36
"Vysočina","Bystřice nad Pernštejnem","Dalečín","",4.12
"Středočeský","Dobříš","Daleké Dušníky","",6.77
"Liberecký","Jablonec nad Nisou","Dalešice","",13.58
"Vysočina","Třebíč","Dalešice","",7.19
"Karlovarský","Karlovy Vary","Dalovice","",20
"Středočeský","Mladá Boleslav","Dalovice","",8.58
"Jihomoravský","Kyjov","Dambořice","",24.28
"Jihomoravský","Moravský Krumlov","Damnice","",13.64
"Pardubický","Lanškroun","Damníkov","",5.97
"Vysočina","Nové Město na Moravě","Daňkovice","",3.92
"Moravskoslezský","Hlučín","Darkovice","",3.46
"Olomoucký","Olomouc","Daskabát","",4.1
"Karlovarský","Sokolov","Dasnice","",19.6
"Jihočeský","České Budějovice","Dasný","",0.8
"Pardubický","Pardubice","Dašice","",10.75
"Středočeský","Černošice","Davle","",5.94
"Jihomoravský","Tišnov","Deblín","",4.97
"Ústecký","Lovosice","Děčany","",9.9
"Ústecký","Děčín","Děčín","",8.11
"Pardubický","Hlinsko","Dědová","",25
"Vysočina","Pelhřimov","Dehtáře","",13.11
"Moravskoslezský","Hlučín","Děhylov","",1.95
"Středočeský","Vlašim","Děkanovice","",8
"Středočeský","Rakovník","Děkov","",9.52
"Karlovarský","Karlovy Vary","Děpoltovice","",20.8
"Pardubický","Litomyšl","Desná","",24.28
"Liberecký","Tanvald","Desná","",7.69
"Plzeňský","Klatovy","Dešenice","",5.32
"Jihočeský","Dačice","Dešná","",8.89
"Zlínský","Vizovice","Dešná","",4.62
"Vysočina","Moravské Budějovice","Dešov","",0.89
"Jihomoravský","Boskovice","Deštná","",2.66
"Jihočeský","Jindřichův Hradec","Deštná","",2.71
"Královéhradecký","Dobruška","Deštné v Orlických horách","",4.68
"Ústecký","Žatec","Deštnice","",28.96
"Královéhradecký","Jičín","Dětenice","",2.43
"Olomoucký","Prostějov","Dětkovice","",5.23
"Jihomoravský","Vyškov","Dětkovice","",2.98
"Moravskoslezský","Karviná","Dětmarovice","",5.03
"Liberecký","Frýdlant","Dětřichov","",4.92
"Pardubický","Svitavy","Dětřichov","",11.25
"Moravskoslezský","Bruntál","Dětřichov nad Bystřicí","",4.35
"Pardubický","Moravská Třebová","Dětřichov u Moravské Třebové","",7.14
"Královéhradecký","Jičín","Dílce","",13.34
"Plzeňský","Domažlice","Díly","",3.53
"Jihočeský","Soběslav","Dírná","",10.78
"Jihomoravský","Hustopeče","Diváky","",10.73
"Moravskoslezský","Krnov","Dívčí Hrad","",1.15
"Jihočeský","Jindřichův Hradec","Dívčí Kopy","",6.06
"Jihočeský","České Budějovice","Dívčice","",3.73
"Královéhradecký","Hradec Králové","Divec","",8.63
"Středočeský","Benešov","Divišov","",4.26
"Ústecký","Lovosice","Dlažkovice","",9.31
"Plzeňský","Klatovy","Dlažov","",4.04
"Vysočina","Jihlava","Dlouhá Brtnice","",6.02
"Jihomoravský","Blansko","Dlouhá Lhota","",12.12
"Středočeský","Mladá Boleslav","Dlouhá Lhota","",8.47
"Středočeský","Příbram","Dlouhá Lhota","",1.71
"Jihočeský","Tábor","Dlouhá Lhota","",6
"Pardubický","Moravská Třebová","Dlouhá Loučka","",2.14
"Olomoucký","Uničov","Dlouhá Loučka","",4.54
"Pardubický","Ústí nad Orlicí","Dlouhá Třebová","",11.36
"Vysočina","Havlíčkův Brod","Dlouhá Ves","",3.76
"Plzeňský","Sušice","Dlouhá Ves","",1.02
"Olomoucký","Šumperk","Dlouhomilov","",3.82
"Pardubický","Žamberk","Dlouhoňovice","",10.68
"Středočeský","Poděbrady","Dlouhopolsko","",6.83
"Liberecký","Liberec","Dlouhý Most","",10.67
"Plzeňský","Tachov","Dlouhý Újezd","",5.55
"Plzeňský","Stod","Dnešice","",5.04
"Jihomoravský","Moravský Krumlov","Dobelice","",18.58
"Jihočeský","Písek","Dobev","",3.89
"Ústecký","Děčín","Dobkovice","",5.93
"Moravskoslezský","Frýdek-Místek","Dobrá","",5.18
"Vysočina","Pelhřimov","Dobrá Voda","",8.75
"Vysočina","Velké Meziříčí","Dobrá Voda","",4.85
"Jihočeský","České Budějovice","Dobrá Voda u Českých Budějovic","",9.36
"Královéhradecký","Hořice","Dobrá Voda u Hořic","",10.34
"Vysočina","Pacov","Dobrá Voda u Pacova","",2.08
"Moravskoslezský","Frýdek-Místek","Dobratice","",5.84
"Olomoucký","Přerov","Dobrčice","",1.49
"Královéhradecký","Dobruška","Dobré","",3.17
"Jihomoravský","Mikulov","Dobré Pole","",13.64
"Zlínský","Zlín","Dobrkovice","",3.8
"Ústecký","Děčín","Dobrná","",10.01
"Jihomoravský","Bučovice","Dobročkovice","",13.16
"Středočeský","Brandýs nad Labem-Stará Boleslav","Dobročovice","",9.46
"Jihočeský","Dačice","Dobrohošť","",10.53
"Olomoucký","Prostějov","Dobrochov","",2.08
"Ústecký","Louny","Dobroměřice","",13
"Olomoucký","Prostějov","Dobromilice","",4.32
"Jihočeský","Tábor","Dobronice u Bechyně","",14.29
"Vysočina","Jihlava","Dobronín","",6.64
"Moravskoslezský","Hlučín","Dobroslavice","",1.92
"Vysočina","Jihlava","Dobroutov","",9.76
"Středočeský","Mladá Boleslav","Dobrovice","",6.3
"Středočeský","Čáslav","Dobrovítov","",9.8
"Středočeský","Černošice","Dobrovíz","",5.55
"Plzeňský","Sušice","Dobršín","",6.12
"Královéhradecký","Dobruška","Dobruška","",1.58
"Královéhradecký","Dobruška","Dobřany","",5.46
"Plzeňský","Stod","Dobřany","",4.87
"Středočeský","Říčany","Dobřejovice","",4.27
"Středočeský","Mělník","Dobřeň","",6.39
"Královéhradecký","Hradec Králové","Dobřenice","",7.24
"Středočeský","Černošice","Dobříč","",11.11
"Plzeňský","Kralovice","Dobříč","",5.36
"Středočeský","Kolín","Dobřichov","",5.53
"Středočeský","Černošice","Dobřichovice","",5.09
"Pardubický","Vysoké Mýto","Dobříkov","",13.3
"Ústecký","Roudnice nad Labem","Dobříň","",13.29
"Jihomoravský","Moravský Krumlov","Dobřínsko","",5.18
"Středočeský","Dobříš","Dobříš","",4.04
"Plzeňský","Rokycany","Dobřív","",5.68
"Středočeský","Poděbrady","Dobšice","",12.82
"Jihočeský","Týn nad Vltavou","Dobšice","",7.5
"Jihomoravský","Znojmo","Dobšice","",6.74
"Středočeský","Mladá Boleslav","Dobšín","",3.57
"Královéhradecký","Hradec Králové","Dohalice","",1.85
"Ústecký","Roudnice nad Labem","Doksany","",14.95
"Liberecký","Česká Lípa","Doksy","",8.04
"Středočeský","Kladno","Doksy","",13.54
"Ústecký","Litoměřice","Dolánky nad Ohří","",5.88
"Královéhradecký","Jaroměř","Dolany","",7.29
"Středočeský","Kladno","Dolany","",6.35
"Plzeňský","Klatovy","Dolany","",3.23
"Plzeňský","Nýřany","Dolany","",10.53
"Olomoucký","Olomouc","Dolany","",3.26
"Pardubický","Pardubice","Dolany","",7.62
"Středočeský","Kralupy nad Vltavou","Dolany nad Vltavou","",5.77
"Plzeňský","Přeštice","Dolce","",9.72
"Jihomoravský","Moravský Krumlov","Dolenice","",18.33
"Zlínský","Rožnov pod Radhoštěm","Dolní Bečva","",5.96
"Plzeňský","Kralovice","Dolní Bělá","",7.04
"Moravskoslezský","Hlučín","Dolní Benešov","",2.01
"Středočeský","Mělník","Dolní Beřkovice","",4.21
"Jihomoravský","Hodonín","Dolní Bojanovice","",3.64
"Středočeský","Mladá Boleslav","Dolní Bousov","",6.26
"Královéhradecký","Vrchlabí","Dolní Branná","",3.67
"Královéhradecký","Dvůr Králové nad Labem","Dolní Brusnice","",1.82
"Středočeský","Černošice","Dolní Břežany","",3.5
"Jihočeský","Týn nad Vltavou","Dolní Bukovsko","",5.91
"Vysočina","Jihlava","Dolní Cerekev","",3.3
"Pardubický","Lanškroun","Dolní Čermná","",16.36
"Pardubický","Ústí nad Orlicí","Dolní Dobrouč","",27.23
"Moravskoslezský","Frýdek-Místek","Dolní Domaslavice","",4.59
"Jihomoravský","Moravský Krumlov","Dolní Dubňany","",4.66
"Jihomoravský","Mikulov","Dolní Dunajovice","",8.75
"Jihočeský","Kaplice","Dolní Dvořiště","",4.44
"Královéhradecký","Vrchlabí","Dolní Dvůr","",3.44
"Ústecký","Děčín","Dolní Habartice","",14.73
